timeStamp,elapsed,responseCode,threadName,dataType,Latency,SampleCount,ErrorCount,IdleTime,Connect
1686603444345,552,200,Grupo de Usuários 1-129,text,539,1,0,0,0
1686603444647,277,200,Grupo de Usuários 1-35,text,262,1,0,0,0
1686603444402,544,200,Grupo de Usuários 1-34,text,529,1,0,0,0
1686603444675,271,200,Grupo de Usuários 1-33,text,264,1,0,0,0
1686603444645,307,200,Grupo de Usuários 1-151,text,286,1,0,0,0
1686603444572,412,200,Grupo de Usuários 1-152,text,393,1,0,0,0
1686603444793,294,200,Grupo de Usuários 1-148,text,261,1,0,0,0
1686603444285,802,200,Grupo de Usuários 1-168,text,769,1,0,0,319
1686603444814,276,200,Grupo de Usuários 1-131,text,273,1,0,0,0
1686603444828,271,200,Grupo de Usuários 1-31,text,262,1,0,0,0
1686603444830,290,200,Grupo de Usuários 1-184,text,278,1,0,0,0
1686603444807,325,200,Grupo de Usuários 1-150,text,307,1,0,0,0
1686603444807,332,200,Grupo de Usuários 1-189,text,325,1,0,0,0
1686603444839,322,200,Grupo de Usuários 1-186,text,315,1,0,0,0
1686603444948,306,200,Grupo de Usuários 1-41,text,289,1,0,0,0
1686603444673,552,200,Grupo de Usuários 1-172,text,546,1,0,0,292
1686603444574,628,200,Grupo de Usuários 1-171,text,613,1,0,0,313
1686603444544,643,200,Grupo de Usuários 1-167,text,635,1,0,0,313
1686603444744,603,200,Grupo de Usuários 1-170,text,590,1,0,0,315
1686603444756,599,200,Grupo de Usuários 1-175,text,585,1,0,0,331
1686603444733,634,200,Grupo de Usuários 1-173,text,628,1,0,0,326
1686603445115,287,200,Grupo de Usuários 1-132,text,270,1,0,0,0
1686603445066,343,200,Grupo de Usuários 1-154,text,319,1,0,0,0
1686603445274,277,200,Grupo de Usuários 1-44,text,262,1,0,0,0
1686603445280,279,200,Grupo de Usuários 1-135,text,265,1,0,0,0
1686603445324,278,200,Grupo de Usuários 1-39,text,264,1,0,0,0
1686603445280,332,200,Grupo de Usuários 1-138,text,315,1,0,0,0
1686603445359,275,200,Grupo de Usuários 1-37,text,267,1,0,0,0
1686603445330,334,200,Grupo de Usuários 1-134,text,320,1,0,0,0
1686603445135,657,200,Grupo de Usuários 1-174,text,649,1,0,0,303
1686603445330,389,200,Grupo de Usuários 1-158,text,372,1,0,0,0
1686603445023,696,200,Grupo de Usuários 1-176,text,683,1,0,0,338
